,Category,Difference Method,Percentage Method,Date,Year,Month,Rolling Total
2020-03-01,Steuern vom Umsatz,120069.84165059993,120681.98109260196,2020-03-01,2020,3,120069.84165059993
2020-04-01,Steuern vom Umsatz,120218.74793436553,120842.80287947548,2020-04-01,2020,4,120218.74793436553
2020-05-01,Steuern vom Umsatz,120445.90419016649,121112.55658856334,2020-05-01,2020,5,120445.90419016649
2020-06-01,Steuern vom Umsatz,120674.03829860831,121380.73194411039,2020-06-01,2020,6,120674.03829860831
2020-07-01,Steuern vom Umsatz,120876.15467232786,121617.75469293527,2020-07-01,2020,7,120876.15467232786
2020-08-01,Steuern vom Umsatz,121147.47560258317,121947.67095831015,2020-08-01,2020,8,121147.47560258317
2020-09-01,Steuern vom Umsatz,121353.34328355698,122186.04695403058,2020-09-01,2020,9,121353.34328355698
2020-10-01,Steuern vom Umsatz,121539.47178750373,122396.28526741272,2020-10-01,2020,10,121539.47178750373
2020-11-01,Steuern vom Umsatz,121714.04652027889,122587.88168191617,2020-11-01,2020,11,121714.04652027889
2020-12-01,Steuern vom Umsatz,121945.9687991614,122889.61937843057,2020-12-01,2020,12,121945.9687991614
2019-01-01,Gewerbesteuerumlage,2064.441525558779,1995.6678505175105,2019-01-01,2019,1,1995.6678505175105
2019-02-01,Gewerbesteuerumlage,2072.992712425421,2072.397228849855,2019-02-01,2019,2,2072.397228849855
2019-03-01,Gewerbesteuerumlage,2083.0984064582644,2031.7937910359592,2019-03-01,2019,3,2031.7937910359592
2019-04-01,Gewerbesteuerumlage,2092.9588233401564,2067.149897200812,2019-04-01,2019,4,2067.149897200812
2019-05-01,Gewerbesteuerumlage,2100.86622373308,2070.9075304721896,2019-05-01,2019,5,2070.9075304721896
2019-06-01,Gewerbesteuerumlage,2111.124636350354,2088.80488979649,2019-06-01,2019,6,2088.80488979649
2019-07-01,Gewerbesteuerumlage,2120.48481504319,2060.198364375721,2019-07-01,2019,7,2060.198364375721
2019-08-01,Gewerbesteuerumlage,2127.457756847126,2113.1747216582103,2019-08-01,2019,8,2113.1747216582103
2019-09-01,Gewerbesteuerumlage,2137.377208599122,2119.327219415145,2019-09-01,2019,9,2119.327219415145
2019-10-01,Gewerbesteuerumlage,2146.164402465641,2130.5020936669175,2019-10-01,2019,10,2130.5020936669175
2019-11-01,Gewerbesteuerumlage,2155.4173818521213,2139.9283485362766,2019-11-01,2019,11,2139.9283485362766
2019-12-01,Gewerbesteuerumlage,2163.1564113513027,2149.538814323243,2019-12-01,2019,12,2149.538814323243
2020-01-01,Gewerbesteuerumlage,2176.074472743814,2135.058791521592,2020-01-01,2020,1,2135.058791521592
2020-02-01,Gewerbesteuerumlage,2186.227089832003,2147.161983167505,2020-02-01,2020,2,2147.161983167505
2020-03-01,Gewerbesteuerumlage,2196.137033640831,2152.401807441271,2020-03-01,2020,3,2152.401807441271
2020-04-01,Gewerbesteuerumlage,2205.553981159234,2148.2319661097254,2020-04-01,2020,4,2148.2319661097254
2020-05-01,Gewerbesteuerumlage,2212.9906804369616,2170.925656553574,2020-05-01,2020,5,2170.925656553574
2020-06-01,Gewerbesteuerumlage,2222.8322951561177,2180.424771294639,2020-06-01,2020,6,2180.424771294639
2020-07-01,Gewerbesteuerumlage,2230.265056103611,2187.2676195558447,2020-07-01,2020,7,2187.2676195558447
2020-08-01,Gewerbesteuerumlage,2240.88615357442,2208.153095883182,2020-08-01,2020,8,2208.153095883182
2020-09-01,Gewerbesteuerumlage,2251.144546413636,2214.6345772556783,2020-09-01,2020,9,2214.6345772556783
2020-10-01,Gewerbesteuerumlage,2257.7375903027514,2246.8651752345772,2020-10-01,2020,10,2246.8651752345772
2020-11-01,Gewerbesteuerumlage,2275.629462233923,2182.8742724254257,2020-11-01,2020,11,2182.8742724254257
2020-12-01,Gewerbesteuerumlage,2273.7404071489404,2273.0346159106425,2020-12-01,2020,12,2273.0346159106425
2019-01-01,Energiesteuer,40884.70962623635,40889.61672651433,2019-01-01,2019,1,40884.70962623635
2019-02-01,Energiesteuer,40884.9603709197,40890.53713851725,2019-02-01,2019,2,40884.9603709197
2019-03-01,Energiesteuer,40884.983574450656,40859.301944392,2019-03-01,2019,3,40859.301944392
2019-04-01,Energiesteuer,40884.985721670055,40901.198580364224,2019-04-01,2019,4,40884.985721670055
2019-05-01,Energiesteuer,40884.98592037046,40849.98392921956,2019-05-01,2019,5,40849.98392921956
2019-06-01,Energiesteuer,40884.9859387579,40865.34892452767,2019-06-01,2019,6,40865.34892452767
2019-07-01,Energiesteuer,40884.985940459446,40816.52688382354,2019-07-01,2019,7,40816.52688382354
2019-08-01,Energiesteuer,40884.985940616905,40794.161096892225,2019-08-01,2019,8,40794.161096892225
2019-09-01,Energiesteuer,40884.98594063147,40795.96164059068,2019-09-01,2019,9,40795.96164059068
2019-10-01,Energiesteuer,40884.98594063282,40792.748409371445,2019-10-01,2019,10,40792.748409371445
2019-11-01,Energiesteuer,40884.98594063295,40812.444844559155,2019-11-01,2019,11,40812.444844559155
2019-12-01,Energiesteuer,40884.985940632956,40790.62877150228,2019-12-01,2019,12,40790.62877150228
2020-01-01,Energiesteuer,40884.985940632956,40805.750541988,2020-01-01,2020,1,40805.750541988
